Afghanistan;; Kabul;n113;@spitzlbergerj,@TipsyNurse
Albania;; Tirana;n284;@spitzlbergerj,@TipsyNurse
Algeria;; Algiers;n14;@spitzlbergerj,@TipsyNurse
Andorra;; Andorra La Vella;n686;@spitzlbergerj,@TipsyNurse
Angola;; Luanda;n138;@spitzlbergerj,@TipsyNurse
Antigua and Barbuda;; Saint John's;n688;@spitzlbergerj,@TipsyNurse
Argentina; Córdoba; Córdoba;n485;@spitzlbergerj,@TipsyNurse
Argentina;; Buenos Aires;n51;@spitzlbergerj,@TipsyNurse
Armenia;; Yerevan;n370;@spitzlbergerj,@TipsyNurse
Australia; Australian Capital Territory; Canberra;n57;@spitzlbergerj,@TipsyNurse
Australia; Queensland; Brisbane;n47;@spitzlbergerj,@TipsyNurse
Australia; Queensland; Cairns;n927;@spitzlbergerj,@TipsyNurse
Australia; South Australia; Adelaide;n5;@spitzlbergerj,@TipsyNurse
Australia; Tasmania; Hobart;n396;@spitzlbergerj,@TipsyNurse
Australia; Victoria; Melbourne;n152;@spitzlbergerj,@TipsyNurse
Australia; Western Australia; Eucla;n1980;@spitzlbergerj,@TipsyNurse
Australia; Western Australia; Perth;n196;@spitzlbergerj,@TipsyNurse
Australia;new South Wales; Sydney;n240;@spitzlbergerj,@TipsyNurse
Australia;northern Territory; Alice Springs;n929;@spitzlbergerj,@TipsyNurse
Australia;northern Territory; Darwin;n72;@spitzlbergerj,@TipsyNurse
Austria; Vienna; Vienna;n259;@spitzlbergerj,@TipsyNurse
Azerbaijan;; Baku;n369;@spitzlbergerj,@TipsyNurse
Bahamas;;nassau;n173;@spitzlbergerj,@TipsyNurse
Bahrain;; Manama;n15;@spitzlbergerj,@TipsyNurse
Bangladesh;; Dhaka;n73;@spitzlbergerj,@TipsyNurse
Barbados;; Bridgetown;n46;@spitzlbergerj,@TipsyNurse
Belarus;; Minsk;n285;@spitzlbergerj,@TipsyNurse
Belgium; Brussels; Brussels;n48;@spitzlbergerj,@TipsyNurse
Belize;; Belmopan;n36;@spitzlbergerj,@TipsyNurse
Benin;; Portonovo;n203;@spitzlbergerj,@TipsyNurse
Bermuda;; Hamilton;n38;@spitzlbergerj,@TipsyNurse
Bhutan;; Thimphu;n690;@spitzlbergerj,@TipsyNurse
Bolivia;; La Paz;n124;@spitzlbergerj,@TipsyNurse
Bolivia;; Sucre;n1888;@spitzlbergerj,@TipsyNurse
Bosnia-Herzegovina;; Sarajevo;n691;@spitzlbergerj,@TipsyNurse
Botswana;; Gaborone;n86;@spitzlbergerj,@TipsyNurse
Brazil; Acre; Rio Branco;n752;@spitzlbergerj,@TipsyNurse
Brazil; Amazonas; Manaus;n144;@spitzlbergerj,@TipsyNurse
Brazil; Bahia; Salvador;n222;@spitzlbergerj,@TipsyNurse
Brazil; Ceará; Fortaleza;n491;@spitzlbergerj,@TipsyNurse
Brazil; Distrito Federal; Brasilia;n45;@spitzlbergerj,@TipsyNurse
Brazil; Pará; Belém;n446;@spitzlbergerj,@TipsyNurse
Brazil; Pernambuco; Recife;n209;@spitzlbergerj,@TipsyNurse
Brazil; Rio de Janeiro; Rio de Janeiro;n213;@spitzlbergerj,@TipsyNurse
Brazil; São Paulo; São Paulo;n233;@spitzlbergerj,@TipsyNurse
British India Ocean Territory;; Diego Garcia;n932;@spitzlbergerj,@TipsyNurse
Brunei;; Bandar Seri Begawan;n693;@spitzlbergerj,@TipsyNurse
Bulgaria;; Sofia;n238;@spitzlbergerj,@TipsyNurse
Burkina Faso;; Ouagadougou;n186;@spitzlbergerj,@TipsyNurse
Burundi;; Bujumbura;n52;@spitzlbergerj,@TipsyNurse
Burundi;; Gitega;n3446;@spitzlbergerj,@TipsyNurse
Cabo Verde;; Praia;n685;@spitzlbergerj,@TipsyNurse
Cambodia;; Phnom Penh;n199;@spitzlbergerj,@TipsyNurse
Cameroon;; Yaoundé;n267;@spitzlbergerj,@TipsyNurse
Canada; Alberta; Calgary;n55;@spitzlbergerj,@TipsyNurse
Canada; Alberta; Edmonton;n80;@spitzlbergerj,@TipsyNurse
Canada; British Columbia; Vancouver;n256;@spitzlbergerj,@TipsyNurse
Canada; Manitoba; Winnipeg;n265;@spitzlbergerj,@TipsyNurse
Canada; Ontario; Ottawa;n188;@spitzlbergerj,@TipsyNurse
Canada; Ontario; Toronto;n250;@spitzlbergerj,@TipsyNurse
Canada; Quebec; Blanc-Sablon;n1922;@spitzlbergerj,@TipsyNurse
Canada; Quebec; Chibougamau;n2438;@spitzlbergerj,@TipsyNurse
Canada; Quebec; Kuujjuaq;n3768;@spitzlbergerj,@TipsyNurse
Canada; Quebec; Montréal;n165;@spitzlbergerj,@TipsyNurse
Canada; Quebec; Québec;n189;@spitzlbergerj,@TipsyNurse
Canada; Saskatchewan; Regina;n210;@spitzlbergerj,@TipsyNurse
Canada; Yukon; Whitehorse;n679;@spitzlbergerj,@TipsyNurse
Canada;new Brunswick; Saint John;n749;@spitzlbergerj,@TipsyNurse
Canada;newfoundland and Labrador; Happy Valley-Goose Bay;n1137;@spitzlbergerj,@TipsyNurse
Canada;newfoundland and Labrador; Mary's Harbour;n4880;@spitzlbergerj,@TipsyNurse
Canada;newfoundland and Labrador; St. John's;n175;@spitzlbergerj,@TipsyNurse
Canada;northwest Territories; Inuvik;n1145;@spitzlbergerj,@TipsyNurse
Canada;northwest Territories; Yellowknife;n678;@spitzlbergerj,@TipsyNurse
Canada;nova Scotia; Halifax;n286;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Alert;n3368;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Baker Lake;n1157;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Coral Harbour;n1160;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Eureka;n3764;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Grise Fiord;n3801;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Pond Inlet;n1164;@spitzlbergerj,@TipsyNurse
Canada;nunavut; Resolute Bay;n2380;@spitzlbergerj,@TipsyNurse
Cayman Islands;; George Town;n377;@spitzlbergerj,@TipsyNurse
Central African Republic;; Bangui;n694;@spitzlbergerj,@TipsyNurse
Chad;;n'Djamena;n174;@spitzlbergerj,@TipsyNurse
Chile;; Easter Island;n914;@spitzlbergerj,@TipsyNurse
Chile;; Punta Arenas;n574;@spitzlbergerj,@TipsyNurse
Chile;; Santiago;n232;@spitzlbergerj,@TipsyNurse
China; Beijing Municipality; Beijing;n33;@spitzlbergerj,@TipsyNurse
China; Chongqing Municipality; Chongqing;n470;@spitzlbergerj,@TipsyNurse
China; Guangdong; Shenzhen;n1232;@spitzlbergerj,@TipsyNurse
China; Jiangsu; Suzhou;n2148;@spitzlbergerj,@TipsyNurse
China; Shanghai Municipality; Shanghai;n237;@spitzlbergerj,@TipsyNurse
China; Tibet; Lhasa;n918;@spitzlbergerj,@TipsyNurse
China; Xinjiang; Ürümqi;n655;@spitzlbergerj,@TipsyNurse
Colombia;; Bogota;n41;@spitzlbergerj,@TipsyNurse
Comoros;; Moroni;n696;@spitzlbergerj,@TipsyNurse
Congo;; Brazzaville;n926;@spitzlbergerj,@TipsyNurse
Congo Dem. Rep.;; Kinshasa;n121;@spitzlbergerj,@TipsyNurse
Congo Dem. Rep.;; Lubumbashi;n139;@spitzlbergerj,@TipsyNurse
Cook Islands;; Rarotonga;n279;@spitzlbergerj,@TipsyNurse
Costa Rica  ;; San Jose;n225;@spitzlbergerj,@TipsyNurse
Cote d'Ivoire (Ivory Coast);; Abidjan;n1;@spitzlbergerj,@TipsyNurse
Cote d'Ivoire (Ivory Coast);; Yamoussoukro;n935;@spitzlbergerj,@TipsyNurse
Croatia; ; Split;n2390;@robiv8
Croatia; ; Zagreb;n281;@robiv8
Croatia   ;; Zagreb;n281;@spitzlbergerj,@TipsyNurse
